Date_id,Year,Quarter,Month,Day,Day_of_Week
01/01/2015,2015,1,1,1,Thursday
02/01/2015,2015,1,1,2,Friday
03/01/2015,2015,1,1,3,Saturday
04/01/2015,2015,1,1,4,Sunday
05/01/2015,2015,1,1,5,Monday
06/01/2015,2015,1,1,6,Tuesday
07/01/2015,2015,1,1,7,Wednesday
08/01/2015,2015,1,1,8,Thursday
09/01/2015,2015,1,1,9,Friday
10/01/2015,2015,1,1,10,Saturday
11/01/2015,2015,1,1,11,Sunday
12/01/2015,2015,1,1,12,Monday
13/01/2015,2015,1,1,13,Tuesday
14/01/2015,2015,1,1,14,Wednesday
15/01/2015,2015,1,1,15,Thursday
16/01/2015,2015,1,1,16,Friday
17/01/2015,2015,1,1,17,Saturday
18/01/2015,2015,1,1,18,Sunday
19/01/2015,2015,1,1,19,Monday
20/01/2015,2015,1,1,20,Tuesday
21/01/2015,2015,1,1,21,Wednesday
22/01/2015,2015,1,1,22,Thursday
23/01/2015,2015,1,1,23,Friday
24/01/2015,2015,1,1,24,Saturday
25/01/2015,2015,1,1,25,Sunday
26/01/2015,2015,1,1,26,Monday
27/01/2015,2015,1,1,27,Tuesday
28/01/2015,2015,1,1,28,Wednesday
29/01/2015,2015,1,1,29,Thursday
30/01/2015,2015,1,1,30,Friday
31/01/2015,2015,1,1,31,Saturday
01/02/2015,2015,1,2,1,Sunday
02/02/2015,2015,1,2,2,Monday
03/02/2015,2015,1,2,3,Tuesday
04/02/2015,2015,1,2,4,Wednesday
05/02/2015,2015,1,2,5,Thursday
06/02/2015,2015,1,2,6,Friday
07/02/2015,2015,1,2,7,Saturday
08/02/2015,2015,1,2,8,Sunday
09/02/2015,2015,1,2,9,Monday
10/02/2015,2015,1,2,10,Tuesday
11/02/2015,2015,1,2,11,Wednesday
12/02/2015,2015,1,2,12,Thursday
13/02/2015,2015,1,2,13,Friday
14/02/2015,2015,1,2,14,Saturday
15/02/2015,2015,1,2,15,Sunday
16/02/2015,2015,1,2,16,Monday
17/02/2015,2015,1,2,17,Tuesday
18/02/2015,2015,1,2,18,Wednesday
19/02/2015,2015,1,2,19,Thursday
20/02/2015,2015,1,2,20,Friday
21/02/2015,2015,1,2,21,Saturday
22/02/2015,2015,1,2,22,Sunday
23/02/2015,2015,1,2,23,Monday
24/02/2015,2015,1,2,24,Tuesday
25/02/2015,2015,1,2,25,Wednesday
26/02/2015,2015,1,2,26,Thursday
27/02/2015,2015,1,2,27,Friday
28/02/2015,2015,1,2,28,Saturday
01/03/2015,2015,1,3,1,Sunday
02/03/2015,2015,1,3,2,Monday
03/03/2015,2015,1,3,3,Tuesday
04/03/2015,2015,1,3,4,Wednesday
05/03/2015,2015,1,3,5,Thursday
06/03/2015,2015,1,3,6,Friday
07/03/2015,2015,1,3,7,Saturday
08/03/2015,2015,1,3,8,Sunday
09/03/2015,2015,1,3,9,Monday
10/03/2015,2015,1,3,10,Tuesday
11/03/2015,2015,1,3,11,Wednesday
12/03/2015,2015,1,3,12,Thursday
13/03/2015,2015,1,3,13,Friday
14/03/2015,2015,1,3,14,Saturday
15/03/2015,2015,1,3,15,Sunday
16/03/2015,2015,1,3,16,Monday
17/03/2015,2015,1,3,17,Tuesday
18/03/2015,2015,1,3,18,Wednesday
19/03/2015,2015,1,3,19,Thursday
20/03/2015,2015,1,3,20,Friday
21/03/2015,2015,1,3,21,Saturday
22/03/2015,2015,1,3,22,Sunday
23/03/2015,2015,1,3,23,Monday
24/03/2015,2015,1,3,24,Tuesday
25/03/2015,2015,1,3,25,Wednesday
26/03/2015,2015,1,3,26,Thursday
27/03/2015,2015,1,3,27,Friday
28/03/2015,2015,1,3,28,Saturday
29/03/2015,2015,1,3,29,Sunday
30/03/2015,2015,1,3,30,Monday
31/03/2015,2015,1,3,31,Tuesday
01/04/2015,2015,2,4,1,Wednesday
02/04/2015,2015,2,4,2,Thursday
03/04/2015,2015,2,4,3,Friday
04/04/2015,2015,2,4,4,Saturday
05/04/2015,2015,2,4,5,Sunday
06/04/2015,2015,2,4,6,Monday
07/04/2015,2015,2,4,7,Tuesday
08/04/2015,2015,2,4,8,Wednesday
09/04/2015,2015,2,4,9,Thursday
10/04/2015,2015,2,4,10,Friday
11/04/2015,2015,2,4,11,Saturday
12/04/2015,2015,2,4,12,Sunday
13/04/2015,2015,2,4,13,Monday
14/04/2015,2015,2,4,14,Tuesday
15/04/2015,2015,2,4,15,Wednesday
16/04/2015,2015,2,4,16,Thursday
17/04/2015,2015,2,4,17,Friday
18/04/2015,2015,2,4,18,Saturday
19/04/2015,2015,2,4,19,Sunday
20/04/2015,2015,2,4,20,Monday
21/04/2015,2015,2,4,21,Tuesday
22/04/2015,2015,2,4,22,Wednesday
23/04/2015,2015,2,4,23,Thursday
24/04/2015,2015,2,4,24,Friday
25/04/2015,2015,2,4,25,Saturday
26/04/2015,2015,2,4,26,Sunday
27/04/2015,2015,2,4,27,Monday
28/04/2015,2015,2,4,28,Tuesday
29/04/2015,2015,2,4,29,Wednesday
30/04/2015,2015,2,4,30,Thursday
01/05/2015,2015,2,5,1,Friday
02/05/2015,2015,2,5,2,Saturday
03/05/2015,2015,2,5,3,Sunday
04/05/2015,2015,2,5,4,Monday
05/05/2015,2015,2,5,5,Tuesday
